Basic words
english,transcription,pronunciation,russian,ukrainian
time,/taɪm/,тайм,время,час
day,/deɪ/,дей,день,день
year,/jɪər/,йир,год,рік
person,/ˈpɜːrsən/,пё:сн,человек,людина
way,/weɪ/,вей,путь,шлях
work,/wɜːrk/,вё:рк,работа,робота
government,/ˈɡʌvərnment/,гавернмент,правительство,уряд
company,/ˈkʌmpəni/,кампэни,компания,компанія
number,/ˈnʌmbər/,намбэр,число,номер
place,/pleɪs/,плейс,место,місце
case,/keɪs/,кейс,случай,випадок
group,/ɡruːp/,груп,группа,група
problem,/ˈprɒbləm/,проблэм,проблема,проблема
fact,/fækt/,фэкт,факт,факт
idea,/aɪˈdɪə/,аидиа,идея,ідея
question,/ˈkwɛsʧən/,квэшн,вопрос,питання
law,/lɔː/,ло,закон,закон
money,/ˈmʌni/,мани,деньги,гроші
example,/ɪɡˈzæmpəl/,игзэмпл,пример,приклад
job,/ʤɒb/,джоб,работа,робота
idea,/aɪˈdɪə/,аидиа,идея,ідея
business,/ˈbɪznɪs/,бизнэс,бизнес,бізнес
child,/ʧaɪld/,чайлд,ребенок,дитина
man,/mæn/,мэн,мужчина,чоловік
woman,/ˈwʊmən/,у́мэн,женщина,жінка
day,/deɪ/,дей,день,день
hand,/hænd/,хэнд,рука,рука
job,/ʤɒb/,джоб,работа,робота
part,/pɑːrt/,парт,часть,частина
place,/pleɪs/,плейс,место,місце
fact,/fækt/,фэкт,факт,факт
house,/haʊs/,хаус,дом,будинок
friend,/frɛnd/,фрэнд,друг,друг
body,/ˈbɒdi/,боди,тело,тіло
system,/ˈsɪstəm/,систэм,система,система
team,/tiːm/,тим,команда,команда
party,/ˈpɑːrti/,парти,вечеринка,вечірка
idea,/aɪˈdɪə/,аидиа,идея,ідея
company,/ˈkʌmpəni/,кампэни,компания,компанія
government,/ˈɡʌvərnment/,гавернмент,правительство,уряд
country,/ˈkʌntri/,кантри,страна,країна
problem,/ˈprɒbləm/,проблэм,проблема,проблема
case,/keɪs/,кейс,случай,випадок
word,/wɜːrd/,вёрд,слово,слово
night,/naɪt/,найт,ночь,ніч
home,/həʊm/,хоум,дом,дім
place,/pleɪs/,плейс,место,місце
year,/jɪər/,йир,год,рік
city,/ˈsɪti/,сити,город,місто
family,/ˈfæməli/,фэмэли,семья,родина
week,/wiːk/,уик,неделя,тиждень
company,/ˈkʌmpəni/,кампэни,компания,компанія
person,/ˈpɜːrsən/,пё:сн,человек,людина
place,/pleɪs/,плейс,место,місце
job,/ʤɒb/,джоб,работа,робота
country,/ˈkʌntri/,кантри,страна,країна
house,/haʊs/,хаус,дом,будинок
problem,/ˈprɒbləm/,проблэм,проблема,проблема
fact,/fækt/,фэкт,факт,факт
business,/ˈbɪznɪs/,бизнэс,бизнес,бізнес
word,/wɜːrd/,вёрд,слово,слово
night,/naɪt/,найт,ночь,ніч
home,/həʊm/,хоум,дом,дім
family,/ˈfæməli/,фэмэли,семья,родина
week,/wiːk/,уик,неделя,тиждень
city,/ˈsɪti/,сити,город,місто
school,/skuːl/,скул,школа,школа
person,/ˈpɜːrsən/,пё:сн,человек,людина
book,/bʊk/,бук,книга,книга
place,/pleɪs/,плейс,место,місце
water,/ˈwɔːtər/,вотэр,вода,вода
car,/kɑːr/,кар,автомобиль,автомобіль
door,/dɔːr/,дор,дверь,двері
window,/ˈwɪndoʊ/,виндоу,окно,вікно
room,/ruːm/,рум,комната,кімната
friend,/frɛnd/,фрэнд,друг,друг
money,/ˈmʌni/,мани,деньги,гроші
food,/fuːd/,фуд,еда,їжа
air,/ɛər/,эр,воздух,повітря
fire,/faɪər/,файэр,огонь,вогонь
earth,/ɜːrθ/,эрс,земля,земля
sun,/sʌn/,сан,солнце,сонце
moon,/muːn/,мун,луна,місяць
mountain,/ˈmaʊntɪn/,маунтин,гора,гора
river,/ˈrɪvər/,ривер,река,річка
sea,/siː/,си,море,море
flower,/ˈflaʊər/,флауэр,цветок,квітка
tree,/triː/,три,дерево,дерево
forest,/ˈfɒrɪst/,форист,лес,ліс
lake,/leɪk/,лэйк,озеро,озеро
sky,/skaɪ/,скай,небо,небо
cloud,/klaʊd/,клауд,облако,хмара
wind,/wɪnd/,винд,ветер,вітер
rain,/reɪn/,рэйн,дождь,дощ
snow,/snoʊ/,сноу,снег,сніг
ice,/aɪs/,айс,лед,льод
fireplace,/ˈfaɪərˌpleɪs/,файэрплейс,камин,камін
bed,/bɛd/,бед,кровать,ліжко
table,/ˈteɪbl̩/,тэйбл,стол,стіл
chair,/ʧɛr/,чэр,стул,стілець
plate,/pleɪt/,плейт,тарелка,тарілка
glass,/ɡlæs/,глэс,стакан,склянка
knife,/naɪf/,найф,нож,ніж
fork,/fɔrk/,форк,вилка,виделка
spoon,/spuːn/,спун,ложка,ложка
fork,/fɔrk/,форк,вилка,виделка
spoon,/spuːn/,спун,ложка,ложка
bowl,/boʊl/,боул,миска,миска
