Family and friends
english,transcription,pronunciation,russian,ukrainian
family,/ˈfæməli/,фэмэли,семья,родина
parents,/ˈpɛrənts/,пэрэнтс,родители,батьки
mother,/ˈmʌðər/,мазэр,мать,мати
father,/ˈfɑːðər/,фазэр,отец,батько
sister,/ˈsɪstər/,систэр,сестра,сестра
brother,/ˈbrʌðər/,брадэр,брат,брат
son,/sʌn/,сан,сын,син
daughter,/ˈdɔːtər/,доутэр,дочь,дочка
grandparents,/ˈɡrændˌpɛrənts/,грэндпэрэнтс,бабушка и дедушка,дідусь і бабуся
grandmother,/ˈɡrændˌmʌðər/,грэндмазэр,бабушка,бабуся
grandfather,/ˈɡrændˌfɑːðər/,грэндфазэр,дедушка,дідусь
grandchildren,/ˈɡrændˌʧɪldrən/,грэндчилдрэн,внуки и внучки,внуки і внучки
grandson,/ˈɡrændˌsʌn/,грэндсан,внук,внук
granddaughter,/ˈɡrændˌdɔːtər/,грэнддоутэр,внучка,внучка
aunt,/ænt/,а:нт,тётя,тітка
uncle,/ˈʌŋkl̩/,анкл,дядя,дядько
cousin,/ˈkʌzən/,кʌзн,двоюродный брат/сестра,двоюрідний брат/сестра
niece,/niːs/,нис,племянница,племінниця
nephew,/ˈnɛfjuː/,нэфью,племянник,племінник
godparents,/ˈɡɒdˌpɛrənts/,годпэрэнтс,крёстные отцы/матери,хрещені батьки
godmother,/ˈɡɒdˌmʌðər/,годмазэр,крёстная мать,хрещена мати
godfather,/ˈɡɒdˌfɑːðər/,годфазэр,крёстный отец,хрещений батько
godchildren,/ˈɡɒdˌʧɪldrən/,годчилдрэн,крёстные дети,хрещені діти
relative,/ˈrɛlətɪv/,рэлэтив,родственник,родич
sibling,/ˈsɪblɪŋ/,сиблин,брат/сестра,брат/сестра
kin,/kɪn/,кин,родня,родина
kinship,/ˈkɪnˌʃɪp/,киншип,родство,родинні взаємини
generation,/ˌʤɛnəˈreɪʃən/,жэнэрэйшн,поколение,покоління
ancestor,/ˈænsɛstər/,энсэстэр,предок,предок
descendant,/dɪˈsɛndənt/,дисэндэнт,потомок,потомок
baby,/ˈbeɪbi/,бэйби,ребенок,немовля
childhood,/ˈʧaɪldhʊd/,чайлдхуд,детство,дитинство
adolescence,/ˌædəˈlɛsəns/,эдолесэнс,юность,підлітковий вік
adult,/ˈædʌlt/,эдъльт,взрослый,дорослий
marriage,/ˈmæridʒ/,мэридж,брак,шлюб
wedding,/ˈwɛdɪŋ/,уэддиң,свадьба,весілля
bride,/braɪd/,брайд,невеста,наречена
groom,/ɡruːm/,грум,жених,наречений
spouse,/spaʊs/,спауз,супруг/супруга,чоловік/дружина
partner,/ˈpɑːrtnər/,партнэр,партнер,партнер
friend,/frɛnd/,фрэнд,друг,друг
boyfriend,/ˈbɔɪˌfrɛnd/,бойфрэнд,бойфренд,хлопець
girlfriend,/ˈɡɜːrlˌfrɛnd/,гёрлфрэнд,девушка,дівчина
best friend,/bɛst frɛnd/,бэст фрэнд,лучший друг/подруга,найкращий друг/подруга
friendship,/ˈfrɛndˌʃɪp/,фрэндшип,дружба,дружба
neighbor,/ˈneɪbər/,нэйбэр,сосед,сусід
community,/kəˈmjuːnɪti/,комьюнити,сообщество,спільнота
bond,/bɒnd/,бонд,связь,зв'язок
together,/təˈɡɛðər/,түгедэр,вместе,разом
support,/səˈpɔrt/,сэпорт,поддержка,підтримка
trust,/trʌst/,траст,доверие,довіра
loyalty,/ˈlɔɪəlti/,лойэлти,верность,вірність
care,/kɛər/,кэр,забота,турбота
love,/lʌv/,лав,любовь,любов
affection,/əˈfɛkʃən/,эфэкшн,привязанность,приязнь
hug,/hʌɡ/,хаг,объятие,обійми
kiss,/kɪs/,кис,поцелуй,поцілунок
smile,/smaɪl/,смайл,улыбка,посмішка
laugh,/læf/,лэф,смех,сміх
joy,/dʒɔɪ/,джой,радость,радість
celebration,/ˌsɛlɪˈbreɪʃən/,сэлэбрэйшн,праздник,свято
tradition,/trəˈdɪʃən/,трэдишн,традиция,традиція
memory,/ˈmɛməri/,мэмэри,память,пам'ять
relationship,/rɪˈleɪʃənʃɪp/,рилэйшншип,отношения,відносини
conversation,/ˌkɒnvəˈseɪʃən/,конвэрсэйшн,разговор,розмова
communication,/kəˌmjuːnɪˈkeɪʃən/,камьюнікэйшн,общение,спілкування
interaction,/ˌɪntərˈækʃən/,интэрэкшн,взаимодействие,взаємодія
