Food
english,transcription,pronunciation,russian,ukrainian
english,transcription,pronunciation,russian,ukrainian
food,/fuːd/,фуд,еда,їжа
meal,/miːl/,мил,прием пищи,прийом їжі
breakfast,/ˈbrɛkfəst/,брэкфэст,завтрак,сніданок
lunch,/lʌnʧ/,ланч,обед,обід
dinner,/ˈdɪnər/,динэр,ужин,вечеря
snack,/snæk/,снэк,закуска,полегшений перекус
appetizer,/ˈæpɪˌtaɪzər/,эпэтайзэр,закуска,апетитив
main course,/meɪn kɔːrs/,мэйн кoрс,основное блюдо,основне блюдо
dessert,/dɪˈzɜːrt/,дизёрт,десерт,десерт
fruit,/fruːt/,фрут,фрукт,фрукт
vegetable,/ˈvɛdʒɪtəbl̩/,вэджитэбл,овощ,овоч
bread,/brɛd/,бред,хлеб,хліб
butter,/ˈbʌtər/,батэр,масло,масло
cheese,/ʧiːz/,чиз,сыр,сир
meat,/miːt/,мит,мясо,м'ясо
chicken,/ˈʧɪkɪn/,чикин,курица,курка
beef,/biːf/,биф,говядина,яловичина
pork,/pɔːrk/,порк,свинина,свинина
fish,/fɪʃ/,фиш,рыба,риба
seafood,/ˈsiːfuːd/,сифуд,морепродукты,морепродукти
vegetarian,/ˌvɛdʒɪˈtɛəriən/,вэджитэреан,вегетарианец,вегетаріанець
vegan,/ˈviːɡən/,вигэн,веган,веган
salad,/ˈsæləd/,сэлэд,салат,салат
soup,/suːp/,суп,суп,суп
stew,/stjuː/,стю,тушеное блюдо,тушене блюдо
sandwich,/ˈsændwɪʧ/,сэндвич,бутерброд,сендвіч
pasta,/ˈpæstə/,паста,паста,паста
rice,/raɪs/,райс,рис,рис
noodle,/ˈnuːdl/,нудл,лапша,локшина
pizza,/ˈpiːtsə/,пицца,піца,піца
burger,/ˈbɜːrɡər/,бёргэр,бургер,бургер
fries,/fraɪz/,фрайз,картошка фри,картопля фрі
snack,/snæk/,снэк,закуска,полегшений перекус
chips,/ʧɪps/,чипс,чипсы,чіпси
sweets,/swiːts/,свитс,сладости,солодощі
cake,/keɪk/,кэйк,торт,торт
cookie,/ˈkʊki/,куки,печенье,печиво
chocolate,/ˈʧɒklɪt/,чоклит,шоколад,шоколад
ice cream,/aɪs kriːm/,айс крим,мороженое,морозиво
beverage,/ˈbɛvərɪdʒ/,бэвэридж,напиток,напій
water,/ˈwɔːtər/,вотэр,вода,вода
tea,/tiː/,ти,чай,чай
coffee,/ˈkɒfi/,кофи,кофе,кава
juice,/dʒuːs/,джус,сок,сік
wine,/waɪn/,вайн,вино,вино
beer,/bɪər/,бир,пиво,пиво
cocktail,/ˈkɒkteɪl/,кактэйл,коктейль,коктейль
soda,/ˈsoʊdə/,сода,газировка,газована вода
watermelon,/ˈwɔːtərmɛlən/,вотэрмэлэн,арбуз,кавун
banana,/bəˈnænə/,бэнэнэ,банан,банан
apple,/ˈæpl/,эпл,яблоко,яблуко
orange,/ˈɒrɪndʒ/,ориндж,апельсин,апельсин
grape,/ɡreɪp/,грэйп,виноград,виноград
strawberry,/ˈstrɔːbəri/,стробэри,клубника,полуниця
blueberry,/ˈbluːbɛri/,блубэри,голубика,черешня
vegetables,/ˈvɛdʒɪtəbl̩z/,вэджитэблз,овощи,овочі
fruits,/fruːts/,фрутс,фрукты,фрукти
spices,/ˈspaɪsɪz/,спайсиз,специи,спеції
herbs,/hɜːbz/,хёрбз,травы,трави
seasoning,/ˈsiːzənɪŋ/,сизнинг,приправа,приправа
flavor,/ˈfleɪvər/,флэйвэр,вкус,смак
taste,/teɪst/,тейст,вкус,смак
cooking,/ˈkʊkɪŋ/,кукинг,готовка,готування
recipe,/ˈrɛsɪpi/,рэсэпи,рецепт,рецепт
chef,/ʃɛf/,шэф,шеф-повар,шеф-кухар
restaurant,/ˈrɛstərɒnt/,рэстэронт,ресторан,ресторан
